AC7.2	C47C12.3	6.7034144365009
AH6.5	C03D6.3	5.7034144177954
AH6.5	C04A2.3	4.3811951420639
AH6.5	C12C8.3	4.3398024499957
AH6.5	C27A2.6	4.3811951420639
AH6.5	C30C11.4	4.3811951420639
AH6.5	C33H5.9	4.3398024499957
AH6.5	C52A11.2	4.6822251377279
AH6.5	C55B7.9	4.6822251377279
AH6.5	F08B4.5	4.6822251377279
AH6.5	F10E9.8	4.6822251377279
AH6.5	F16D3.4	4.3811951420639
AH6.5	F18H3.5	4.3398024499957
AH6.5	F22B5.1	4.3811951420639
AH6.5	F44B9.7	4.6822251377279
AH6.5	F47F6.1	4.3398024499957
AH6.5	F48C1.4	4.3811951420639
AH6.5	F49E11.1	4.5698755152935
AH6.5	K02A11.1	4.5698755152935
AH6.5	K04G7.11	4.3811951420639
AH6.5	K05C4.6	5.7034144177954
AH6.5	K08E3.6	4.3811951420639
AH6.5	M01E5.5	4.6822251377279
AH6.5	M6.1	4.3398024499957
AH6.5	R02D3.5	4.3811951420639
AH6.5	R05D3.7	4.3398024499957
AH6.5	T01G9.6	4.6822251377279
AH6.5	T04D3.2	4.6822251377279
AH6.5	T23D8.9	4.3811951420639
AH6.5	T26A5.9	5.7034144177954
AH6.5	W08F4.8	4.3811951420639
AH6.5	W09C2.1	4.3811951420639
AH6.5	Y106G6H.7	4.3398024499957
AH6.5	Y40B1A.4	5.7034144177954
AH6.5	Y49E10.21	4.3811951420639
AH6.5	Y49F6B.1	4.6822251377279
AH6.5	Y52B11A.9	4.3811951420639
AH6.5	Y54E5B.3	4.6822251377279
AH6.5	ZK1151.1	4.3811951420639
AH6.5	ZK550.4	4.3811951420639
B0025.2	C02F5.9	4.5187229895859
B0025.2	C05D11.3	4.5187229895859
B0025.2	C16A3.8	4.9630517283011
B0025.2	C26C6.2	4.5187229895859
B0025.2	C27D11.1	4.5187229895859
B0025.2	C28A5.3	4.5187229895859
B0025.2	C30C11.4	5.1471119114857
B0025.2	C32D5.3	5.1471119114857
B0025.2	C44E4.4	6.2262931713893
B0025.2	C55B7.5	5.1471119114857
B0025.2	F11C1.6	5.3811951135602
